username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
🇺🇸Kyle Bass🇺🇸,3005733012,2020-09-19 10:12:50,The Chinese Communist Party is literally running a live organ buffet in Xinjiang. One can set an appointment to hav... https://t.co/b1woldV1gw,475,None,196807,778,0.06818181818181818,0.25
LBC,20973388,2020-09-19 12:49:31,Barrister Michael Polak is representing the World Uighur Congress in a lawsuit calling for the relocation of the 20... https://t.co/MhCrmus14f,89,None,439138,1997,0.0,0.0
🇺🇸Kyle Bass🇺🇸,3005733012,2020-09-19 10:12:50,Has the IOC read through Sir Geoffrey Nice's China Tribunal (https://t.co/SESKydICrp)? @iocmedia Can't possibly dig... https://t.co/oYpq1ZMenr,269,None,196807,778,0.3,1.0
Maajid أبو عمّار,46078438,2020-09-19 15:29:20,"WATCH:
International @Olympics Committee should not be allowed to repeat a mistake of hosting the games in genocida... https://t.co/prnxSVVl1P",39,None,279962,500,0.0,0.0
Arsen Ostrovsky,351120282,2020-09-19 18:34:18,"Respect to Australian lawyer @BrendanSchwab, head of @WorldPlayersUtd, for leading campaign to have #Iran kicked ou... https://t.co/cEbnFn8hou",45,Iran,58767,5366,0.0,0.0
Tank Schottle,328474134,2020-09-20 13:55:56,My love message to everyone I know we all want to go back to our normal life what we love to do I know it affecting... https://t.co/cxOFkMMR2J,40,None,74994,78252,0.2875,0.4625
Tank Schottle,328474134,2020-09-19 17:42:35,I miss Special Olympics I miss playing sports,37,None,74994,78252,0.35714285714285715,0.5714285714285714
Knuckle Puck,509239965,2020-09-21 00:21:01,Y'all heard it here first. Heart Attack Man to bring our country victory in the olympics and then swiftly secure th... https://t.co/AoKjvNtrj7,22,None,78658,336,0.325,0.4666666666666667
Ron Bassilian,18964092,2020-09-20 04:53:50,"@tedwheeler @PortlandAudubon Be sure to let Antifa know not to light fires tonight. 
It's not just harmful to migra... https://t.co/VgxqH2tLCd",42,None,14875,1235,0.45,0.7944444444444444
Brandon Cutler,32483458,2020-09-19 15:04:01,In 1 hour (9am pacific) a bunch of AEW folks will be playing Rocket League with the Special Olympics Illinois (... https://t.co/Y0B4udVwe5,24,None,30889,169,0.35714285714285715,0.5714285714285714
Mr. PEC-Tacular®️,74951861,2020-09-19 13:37:52,"BIG BROTHER &amp; OVW WRESTLING fans!!!

Come meet me TODAY at BOWLING GREEN BALLPARK AND @BGHotRods to benefit SPECIAL... https://t.co/KFxOqOQEMM",14,None,295028,10422,0.05238095238095238,0.3238095238095238
Candice Malcolm,82380985,2020-09-20 16:00:52,"John Turner was an extraordinary Canadian. He qualified for the Olympics, was a Rhodes scholar, had a secret romanc... https://t.co/5X5UwGWYAY",22,None,57206,1669,-0.033333333333333354,0.85
Twitter India,103770785,2020-09-20 08:31:20,"Woman of strength: 20 years ago, @kmmalleswari became the first Indian woman to win a medal at the Olympics. Today,... https://t.co/cwJevmcr4r",24,None,2236205,125,0.525,0.3666666666666667
Vala Afshar,259725229,2020-09-19 21:05:13,"""What is investment?

Usain Bolt won 8 gold medals in 3 Olympics, and he only ran for less than 115 seconds on the... https://t.co/LQtpfN9IQm",27,None,494394,300,-0.08333333333333333,0.5333333333333333
European Gymnastics,372838844,2020-09-20 10:00:17,"#OnThisDay in 2000, Alexei Nemov  wins the men's all-around  at the Sydney Olympics! 
#artistic #gymnastics https://t.co/damjAWRwme",20,OnThisDay,13741,377,0.29444444444444445,0.5333333333333333
"Anjani Kumar, IPS, Stay Home Stay Safe.",3235683981,2020-09-13 00:51:55,Glorious moments : in 1956 Melbourne Olympics Indian team saw the best football performance ever by reaching the Se... https://t.co/hpKT3mtiHS,834,None,202093,138,1.0,0.3
AJ+,110396781,2020-09-18 23:27:40,"""If I hadn't gone through this racism, I would already participate in the Olympics.""

Afro-Brazilian gymnast Angelo... https://t.co/0CdnTNNOMH",71,None,1156172,358,0.0,0.0
UberFacts,95023423,2020-09-15 23:56:00,"Michael Jordan said the greatest benefit of playing on the ""Dream Team"" at the 1992 Olympics was learning more abou... https://t.co/QokY8KpTao",450,None,13793746,1,0.75,0.75
Ali Al Hussein,283523828,2020-09-12 20:22:06,It is with horror to learn that Navid was murdered in Iran without a fair And open trial. If @WrstleLikeAGirl... https://t.co/mviSkbYwiY,1422,None,946367,435,0.35,0.7
Washington Post Opinions,14345812,2020-09-13 16:28:25,"""Since I first wrote to the IOC, the human rights situation in China has only worsened,"" @SenRickScott writes https://t.co/UbfhsVPvg1",827,None,69761,816,0.08333333333333333,0.4777777777777778
Olympics,52422878,2020-09-12 16:00:17,"107 years ago today a legend was born: Jesse Owens. 

 100m
 200m
 4x100m
 Long jump https://t.co/K3XuS9a9t1",309,None,6019961,4995,-0.05,0.4
Kiren Rijiju,3241214268,2020-09-13 01:15:23,Today is the 22nd death anniversary of Dr Talimeren Ao from Nagaland. Independent India's first Flag Bearer and Cap... https://t.co/WTF7WMycK6,495,None,849514,411,0.125,0.22916666666666666
Brandon Cutler,32483458,2020-09-19 00:19:05,Tomorrow morning I'll be playing Rocket League with the Special Olympics Illinois to raise some money for charity... https://t.co/HqZUR9TSq4,63,None,30889,169,0.35714285714285715,0.5714285714285714
